#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 03 03 20 307  2.8  4.3  0.99 12.19  8.33 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 04 20 302  2.7  3.7  1.04 11.64  8.20 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 05 20 294  2.6  3.6  1.10 11.13  8.45 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 06 20 117  1.2  2.1  1.11 11.13  8.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 07 20 115  1.0  2.2  1.07 11.13  7.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 08 20 151  0.9  1.9  1.07 12.19  7.23 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 09 20 107  3.0  4.7  1.09 11.13  7.41 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 10 20 109  3.4  5.0  1.09 10.24  7.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 11 20 103  4.1  5.7  1.05 11.13  7.45 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 12 20 115  3.6  5.5  0.98  9.85  7.59 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 13 20 128  3.8  5.9  0.93 10.67  7.09 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 14 20 133  3.9  5.6  0.96 10.67  7.32 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 15 20 150  3.4  5.3  1.00 10.24  7.44 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 16 20 225  5.0 11.4  0.97 10.24  7.16 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 17 20 334  8.2 12.4  1.12 10.67  5.89 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 18 20 317  3.4  4.8  1.05 10.24  5.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 19 20 291  2.2  4.2  1.02 10.67  6.06 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 20 20 301  3.7 12.0  1.02 12.80  6.02 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 21 20 311  8.0 11.3  1.21  4.65  4.96 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 22 20 298  8.3 11.0  1.41  4.74  5.01 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 03 23 20 293  7.7 10.0  1.44  5.45  5.18 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 00 20 285  7.6 10.2  1.66  5.95  5.20 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 01 20 297  9.0 11.4  1.75  6.10  5.40 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 02 20 302  7.4  9.5  2.03  6.92  5.55 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 03 20 308  5.2  8.6  2.12  6.92  5.74 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 04 20 301  4.9  6.6  2.20  7.31  5.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 05 20 297  5.5  7.3  2.20  6.74  6.25 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 06 20 300  7.2  9.2  2.44  6.74  6.09 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 07 20 331  5.8  7.4  2.41  8.00  6.27 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 08 20 348  5.3  7.6  2.55 11.64  6.68 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 09 20  34  2.1  4.2  2.52 13.47  6.78 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 10 20 353  4.5  6.6  2.54  8.53  6.77 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 11 20  27  3.0  4.6  2.37  8.53  6.82 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 12 20  28  2.8  3.9  2.54 13.47  6.96 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 13 20  42  2.0  3.6  2.46  8.00  6.77 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 14 20 104  2.4  5.1  2.31 11.13  7.05 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 15 20 121  3.2  5.6  2.22 11.64  6.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 16 20 120  2.5  4.3  2.12  8.26  6.53 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 17 20 114  2.3  4.2  1.96 10.24  6.66 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 18 20 187  1.2  2.7  1.99 10.67  6.85 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 19 20 257  1.3  2.4  2.01 13.47  6.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 20 20 265  2.1  4.2  2.02 10.67  6.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 21 20 286  2.9  4.1  2.08 12.80  6.78 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 22 20 323  3.2  4.2  2.07 10.24  6.81 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 04 23 20 329  1.8  3.3  2.20  9.85  6.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 00 20 280  2.0  3.0  2.09  9.48  6.83 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 01 20 269  1.2  2.7  2.06 11.13  7.11 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 02 20 311  2.8  4.1  2.01 12.80  7.19 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 03 20 334  3.0  4.2  1.88 12.80  7.16 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 04 20  58  1.5  2.4  1.89  9.14  6.99 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 05 20  98  2.6  4.5  1.99 11.64  7.07 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 06 20 101  2.4  4.6  2.08 13.47  6.95 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 07 20  95  3.2  4.9  1.83 11.64  7.18 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 08 20  96  4.3  6.0  1.81 12.80  7.25 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 09 20  97  5.1  7.4  1.74 14.22  7.50 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 10 20 100  6.9  9.3  1.68 10.67  7.77 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 11 20  96  6.5  9.1  1.46 13.47  7.87 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 12 20 139  2.5  5.9  1.52  7.53  7.70 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 13 20 110  1.0  2.6  1.48  9.14  7.62 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 14 20 105  0.1  0.9  1.54  9.14  7.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 15 20  97  1.0  2.3  1.41 11.64  7.22 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 16 20 106  1.3  2.8  1.29 10.24  7.22 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 17 20 102  2.6  3.9  1.28 11.64  7.17 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 18 20 113  2.1  4.7  1.31 13.47  7.20 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 19 20 316  1.3  1.9  1.31  9.48  6.93 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 20 20 320  0.9  1.7  1.17 12.80  6.94 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 21 20 337  1.2  2.0  1.25 12.80  7.29 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 22 20 299  1.4  2.1  1.25 12.80  6.95 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 05 23 20 264  1.5  2.4  1.22 12.19  7.39 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 00 20 311  2.1  3.1  1.16 12.80  7.23 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 01 20 342  3.6  5.2  1.20 12.19  7.39 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 02 20 344  3.7  5.1  1.27 12.19  7.78 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 03 20  31  1.2  2.4  1.24 11.64  7.46 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 04 20 140  0.4  1.4  1.12 12.80  7.33 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 05 20  33  2.3  3.4  1.11 12.80  7.41 999 9999.0 999.0 999.0 999.0 99.0 99.00
