#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 20 183  3.7  5.4  0.87 10.67 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 01 20 151  3.4  5.5  0.80 10.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 02 20 152  5.0  7.6  0.84 10.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 03 20 151  5.3  9.7  0.86 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 04 20 152  5.2  8.7  0.76 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 05 20 169  5.6  8.9  0.74 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 06 20 167  8.9 15.2  0.74 10.67 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 07 20 171  9.5 15.0  0.75 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 08 20 173 10.0 15.2  0.78 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 09 20 191  8.5 14.8  0.83 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 10 20 181  8.9 15.0  0.89 10.67 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 11 20 286  9.5 14.4  0.92 10.24 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 12 20 292  9.4 13.4  1.06 11.13 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2023 01 01 13 20 290  8.1 10.2  1.25  4.41 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
